name,price,date,sales
Lenovo IdeaPad S145-14AST 71ID AMD A4 1TB Win10+OHS2019,4350000,2016,21
Lenovo Ideapad 320 intel Corei3/Ram 4gb/Hdd 1tb/Win10,5500000,2016,13
LENOVO ideapad 3 14ARE05 RYZEN 3 4300U,7299000,2016,12
Lenovo Ideapad 330-1QID Black,3850000,2016,12
Lenovo Ideapad ip310 intel Dualcore/Ram 2gb/Hdd 500gb/Win10,3750000,2016,12
"LENOVO IDEAPAD 330-14AST AMD A9 9425-4GB-1TB-14""HD-Radeon R5-Win10",4300000,2016,16
"LENOVO IDEAPAD V14-IKB I3 8130U 4GB SSD 256GB 14"" W10 OHS 2019",6050000,2016,12
LENOVO IDEAPAD S145-14IWL - i5 8265U-4GB-1TB-MX110-WIN10 BLACK,7475000,2016,12
"Lenovo IdeaPad IP 320 AMD A9 9420 4G 1T VGA DOS 14""",4875000,2016,16
"Lenovo Ideapad Slim 3 - AMD Ryzen 7 4700U|8GB|512GB|RX Vega 7|14"" Slim",10249000,2016,26
"Lenovo Ideapad 330s 14IKB (i5 8250U, Win10, 8GB, 1TB, Optane 16GB, 14""",10700000,2016,7
Lenovo ideapad 330 intel 15 Window 10,4950000,2016,13
Lenovo Ideapad S145-14IKB i3-8130U/UMA/4GB/512GB SSD/W10H/OHS2019,6499000,2016,9
Lenovo Ideapad D330 - N4000 /RAM 4GB /Emmc 128GB /10.1-inch /WIN 10,4345000,2016,18
LENOVO IdeaPad 330-15ARR-Ryzen 7-8GB-1TB-R540-2GB-Win10 Blizzard White,10200000,2016,13
Lenovo Ideapad IP330-14IGM Celeron N4100 4GB 1TB HDD 81D0005LID Black,4225000,2016,8
"LENOVO IDEAPAD C340-14API RYZEN 3-3200-8GB-256GB SSD-14"" TOUCH-VEGA 3",8250000,2016,13
Lenovo Ideapad AMD a4 Ram 4GB HDD 500GB Mulus Super Good Condition,3000000,2016,7
LENOVO IDEAPAD SLIM 3 14ARE05 RYZEN 7 4700U 8GB 512 SSD WIN10+OHS,10000000,2016,17
Lenovo Ideapad Yoga S940-1RID GREY Ci7-Gen8/16GBD/512GB/W10H,24999000,2016,13
LENOVO IdeaPad Gaming 3 5JID | Ryzen 5 4600H 16GB 512SSD GTX1650 4GB,12999000,2016,12
"LENOVO IDEAPAD SLIM 3 - RYZEN 7-4700U 8GB 512GB SSD 14""FHD W10 OFFICE",9849000,2016,15
LENOVO IdeaPad 3 14IIL05 I5 1035G1 RAM 8GB SSD 512GB WIN 10 14 INCH,9599000,2016,23
LENOVO IDEAPAD S145 AMD A9-9425U/8GB/1TB/SSD 256GB/R530 2GB/WN10/OHS,6449000,2016,21
"LENOVO IDEAPAD 330 [AMD E2-9000E] 4GB RAM/500GB HDD/14""/WIN10",3249000,2016,15
lenovo ideapad S145-14IKB-i3 8130 4GB/1TB/WIN10+OHS 4GB,6500000,2016,18
"Lenovo Ideapad S145 - Intel N4000 | 4GB | 512GB SSD | 14"" HD | Win10 |",5375000,2016,14
LENOVO IdeaPad Flex 5 14IIL05 81X1006AID i7 1065G7 16GB Graphite Grey,15949000,2016,17
lenovo ideapad slim 3 amd ryzen 5 - 4500u 14ARE05 resmi indonesia,8499999,2016,16
LENOVO IDEAPAD S145 - AMD A9-9425 - 4GB - 1TB - RADEON R5 - 14 INCH,4699000,2016,14
Lenovo Ideapad Slim 3 - R3-4300U / 8GB / SSD 512GB / W.10 + OHS,7450000,2016,14
Lenovo Ideapad Slim 3 14ADA DRID DSID-AMD 3020 4GB 256ssd W10+OHS 14HD,4199000,2016,16
LENOVO IdeaPad Flex 5 14IIL05 81X1008EID i3 1005G1 8GB,9650000,2016,16
lenovo ideapad ip310 intel dualcore /ram 2gb/hdd 500gb/win10,3300000,2016,19
Lenovo Ideapad Slim 3 14ADA05 Athlon Silver 3050U/4GB/256GBssd/W10+OHS,4641000,2016,9
Lenovo Ideapad 320 Core i5 Gen 7 - SSD 256GB - RAM 8GB - VGA NVIDIA,5900000,2016,14
"LENOVO IdeaPad IP130-14AST - AMD A4-9125 4GB 500GB DVD 14"" W10 - Resmi",3420000,2016,14
"LENOVO IDEAPAD 330/AMD E2-9000E/4GB/500GB/14""/WIN 10",3248000,2016,18
"Lenovo Ideapad Slim 3|AMD R5-4500|8GB|512GB|14"" FHD|Win10+OHS 2019",8799000,2016,12
LENOVO Ideapad 320-14AST 14 in AMD A 9 -9420 RAM 4GB HDD 1TB VGA RADEO,4700000,2016,14
LENOVO IDEAPAD V130-15IKB CORE i3-6006U 4GB 500GB SLIM DESIGN - SSD M2,5726261,2016,16
"Lenovo ideapad 130 - AMD A4-9125 - 4GB - 500GB - 14"" - Win10",3499000,2016,14
Lenovo IdeaPad IP330-14IGM Onyx Black - Celeron N4000/4GB/500GB/WIN10,4090500,2016,15
"Lenovo Ideapad 130 - 14ikb ( Core i3-6006U 4GB 1TB 14"" DOS ) RESMI",5449000,2016,10
"Lenovo IdeaPad 330 ( AMD A9-9425 | Radeon R5 |4GB|1TB|14""|DOS ) RESMI",4399000,2016,23
Lenovo Ideapad 3 14ARE Ryzen 7 4700 8GB 512ssd Vega7 W10+OHS 14' 2KID,9849000,2016,8
LENOVO IDEAPAD S145 -14AST A9-9425-4GB-1TB-RADEON 530-DOS-14HD,4475000,2016,19
LENOVO IDEAPAD 330-14IGM - QC N4100-4GB-1TB-DVD-14INC-WIN10 BLACK,3740000,2016,29
lenovo ideapad 110 skylake,3500000,2016,17
"LENOVO IdeaPad Slim 3 14ADA05 AMD 3020e 4GB 256GB 14"" HD Win10 + OHS",4199900,2016,18
core i7 gen 7 / vga nvidia 2gb / lenovo ideapad ip310,9999000,2016,18
Acer Aspire 3 A314 32 C3X0,4150000,2016,21
ACER ASPIRE 3 A314-32 N4000 4GB 1TB WIN10 14inch HD,3685000,2016,16
ACER ASPIRE 3 A315 # REYZEN 5 3500u 8GB 15inch VEGA 8,7666000,2016,16
Acer Aspire 5 A514-52G i5-10210U 8GB MX250 512GB NVMe 14FHD IPS Office,9699000,2016,10
"""Acer Aspire 3 A314-41-983D [14""""/A9-9420E/4GB/1TB/ODD/WIN 10] - Blue""",4799000,2016,12
Acer Aspire 5 A514-51K-31U6 - Intel i3-7020U - 4GB - 1TB - DVDRW -,6099000,2016,9
ACER ASPIRE 3 - RYZEN 3 2200U- 4GB RAM-1TB HDD-RX VEGA 3-15.6 HD,5799000,2016,21
ACER Aspire 3 A315 # A9-9425 4GB 1TB 15inch SLiM W10 !!,4599000,2016,12
"ACER ASPIRE A315-42-R8SM RYZEN5-3500U/8GB/1TB/VEGA8/W10/15.6""HD",7450000,2016,14
ACER ASPIRE 2IN1 R7 371RT i5 4210 U 8GB RAM 256GB SSD,4750000,2016,16
Acer Aspire 5 A514-51KG i3 7020U RAM 4GB HDD 1TB MX230 Win 10 HOME,6450000,2016,17
Acer Predator Helios 300 i7-10750H RTX2060 144Hz 8GB 512GB PH315-53-71,22589000,2016,20
ACER Aspire 3 A314-41-983D AMD A9-9420E/4GB/1TB/Radeon R5/Win 10/Blue,4250000,2016,17
ACER ASPIRE 3 A314-21 - A4-9120E 4GB 500GB RADEON R3 WIN10 14 Inch,3587500,2016,17
ACER ASPIRE 3 A314-41 RYZEN 5 3500U-4GB-1TB-VEGA 8-14-INCH HD-WIN 10,6699000,2016,22
HP PAVILION X360 11 - Intel N4000 4GB 500GB W10 HD TS,4250000,2016,17
HP Pavilion X360 14-DH1053TX i5-10210U 8GB 512GB SSD MX130 WIN10+OHS,11849000,2016,9
HP Pavilion x360 - 14-dh1053tx - Intel Core i5-10210U - 8 GB/512GB SSD,11999000,2016,18
HP Pavilion X360 14 dh1052TX dh1053TX i5 10210 8GB 512ssd MX130 + OHS,12099000,2016,15
HP Pavilion X360 14-dh1055TX i7 10510 8GB 512ssd MX250 2GB Win10+OHS,14599000,2016,22
"HP Pavilion X360 14-dh1001TX I3-10110U 8GB 512GB MX130 14"" FHD W10 OHS",9099000,2016,17
HP Pavilion X360 14-dh1001TX dh1003TX i3 10110 8GB 512ssd MX250 + OHS,9059000,2016,23
HP Pavilion X360 14-dh1054TX dh1055TX -i7 10510 8GB 512ssd MX250 + OHS,14299000,2016,13
HP Pavilion Gaming 15 ec0001ax| Ryzen 5 8GB 512SSD GTX1050 3GB 15.6FHD,10999000,2016,11
HP Pavilion x360 11 ab128TU N4000 4GB 500GB TOUCH,3899000,2016,23
"HP Pavilion X360 14-dh1052TX dh1053TX i5-10210 8GB 512SSD MX130 14""IPS",11999000,2016,19
HP Pavilion X360 14 dh1052TX dh1053TX i5 10210 8GB 512ssd MX130 + OHS,12099000,2016,21
HP Pavilion x360 14-dh1033tx i3-10110U 8 GB 512 GB SSD NVME Win10 GOLD,9299000,2016,25
HP Pavilion X360 14-dh1001TX dh1033TX -i3 10110 8GB 512ssd MX250 +OHS,9059000,2016,25
HP Pavilion X360 14 dh1052TX dh1053TX i5 10210 8GB 512ssd MX130 +OHS,11899000,2016,22
HP Pavilion X360 14-dh1054TX i7 10510 8GB 512ssd MX250 2GB Win10+OHS,14599000,2016,17
HP Pavilion X360 14-dh1055TX i7 10510 8GB 512ssd MX250 2GB Win10+OHS,14599000,2016,19
"HP Pavilion x360 dh1055TX 14"" Inch i7-10510U 8GB MX250 512GB dh1054TX - Gold",14293000,2016,18
HP Pavilion x360 14-dh1052tx i5-10210U 8 GB 512 GB NVME MX130 2GB WIN1,11999000,2016,27
"HP Pavilion x360 dh1053TX 14"" Inch i5-10210U 8GB MX130 512GB dh1052TX - Gold",11894000,2016,22
"ACER SWIFT 3 SF314 i7 8565U 8GB 256GB SSD + 1TB MX250 2GB 14"" FHD W10",11499000,2016,28
"HP Pavilion x360 dh1055TX 14"" Inch i7-10510U 8GB MX250 512GB dh1054TX",14293000,2016,16
ACER PREDATOR HELIOS 300 PH315-53 i7-10750H 8GB 512GB RTX2060 6GB W10,22599000,2016,22
Acer Aspire A311 31-C64M,3553000,2016,14
acer aspire 5,7000000,2016,17
"Acer Aspire 5 A514-51G-57X0 [14""/i5-8265U/MX230 2G/4GB/1TB/ODD/Win10]",8699000,2016,32
"Acer Aspire 5 A514-51K-31U6 [14""/i3-7020U/4GB/1TB/ODD/WIN10] - Silver",5999000,2016,24
ACER Aspire E5-476G,8650000,2016,29
ACER ASPIRE 3 A315-41-R3LC - AMD RYZEN 3-2200U 4GB 1TB 15.6INC W10,5690000,2016,18
acer aspire 3 a314 32,3600000,2016,20
Acer Aspire 5 A514 52G i5 10210U 8GB MX250 512GB NVMe 14FHD IPS OHS,9790000,2016,25
Acer Aspire 5 A514-51KG-37NR [i3-8130U/4GB/1TB/MX230/DVDRW/Win10+Offic,6868000,2016,18
"Acer Aspire 3 A314-21-42WK [A4-9120, 4G, 256GB SSD] NX.HETSN.004 Blue",3999000,2016,23
Acer aspire 3 A314-33,4500000,2016,22
Acer ASPIRE 5 A514 i5 10210 VGA MX250 14 SLIM W10,8348000,2016,36
ACER ASPIRE 3 (A314-21) AMD A4 (win 10),4000300,2016,18
Acer Aspire 5 A514-52G-78QP [Intel Core 10th Gen i7-10510U],11999000,2016,30
Acer Aspire 5 A514-52G - i7-10510U 20GB 1TB SSD MX250 W10H OHS 2019,15327000,2016,24
Acer Aspire 5 A514 i5-8265U/VGA 2GB/14+DVD,7377000,2016,22
Acer Aspire 3 A314-21 [A4-9120/4GB/1TB HDD/AMD Radeon R3/Win10],3625000,2016,23
Acer Aspire 3 A311-31-C64M/C5Z5 Intel N4000/4GB/500GB/Win 10/Black,3490000,2016,22
ACER ASPIRE 3 A315 214EE A4-9120E 4GB 500GB AMD RADEON 520 2GB WIN10,4080400,2016,18
"ACER ASPIRE 3 A314-32 - BLACK - N4000/ 4GB/ 1 TB/14""/WIN 10",4000000,2016,23
Acer Aspire 3 SSD A315-41-R7YL|Ryzen 5-2500U/8GB/1TB+128g/W10/VEGA8,7550000,2016,23
Acer Aspire 3 - A315-41 - AMD Ryzen 5 2500U VEGA 8 256GB 8GB 1TB W10H,7971000,2016,18
ACER ASPIRE 3-A315 FULLSET/AMD RYZEN 5-2500U/SSD 128GB-HDD 1TB/RAM 8GB,6750000,2016,20
"Acer Aspire 5 A514 - 59RA/58KX/55T8 i5 4GB 1TB MX250 2GB 14"" W10+OHS",8090000,2016,22
"ACER SWIFT 3 SF314 i7 8565U 8GB 1TB MX250 2GB 14"" FHD W10 RESMI",10499000,2016,23
ACER ASPIRE 2IN1 R7 372RT I5 6200U 4GB RAM 256GB SSD 1920X1080 BACKL94,3000000,2016,26
Acer PREDATOR PH517-61 (HELIOS 500) 16GB 256GB AMD RYZEN 7 RX VEGA56,21499000,2016,15
ACER ASPIRE 3 A315-41G-5WKG-D1 -AMD RYZEN 5 -2500U -8GB -1TB -WIN 10,7100000,2016,20
Acer Aspire A315 Win 10,5600000,2016,19
Acer Aspire 5 A514 | i5 10210 8GB 1TB MX250 2GB,8298000,2016,21
ACER ASPIRE 3 A311 Intel N4000 RAM 2GB DDR4 HDD 500GB 11ich W10 HD,4199000,2016,30
"ACER SWIFT 3 SF314 i5 8265U 4GB 1TB MX250 2GB 14"" FHD WIN10 RESMI",9199000,2016,30
HP Pavilion X360 14-dh1003TX i5 1021U RAM 8GB 512GB SSD MX130 2GB,12099000,2016,30
HP Pavilion X360 14-DH1033TX I3-10110U 8GB 512GB SSD MX250 Modem+OHS,8990000,2016,18
