name,price,date,sales
Lenovo IdeaPad S145-14AST 71ID AMD A4 1TB Win10+OHS2019,4350000,2016-01-01,21
Lenovo Ideapad 320 intel Corei3/Ram 4gb/Hdd 1tb/Win10,5500000,2016-01-02,13
LENOVO ideapad 3 14ARE05 RYZEN 3 4300U,7299000,2016-01-03,12
Lenovo Ideapad 330-1QID Black,3850000,2016-01-04,12
Lenovo Ideapad ip310 intel Dualcore/Ram 2gb/Hdd 500gb/Win10,3750000,2016-01-05,12
"LENOVO IDEAPAD 330-14AST AMD A9 9425-4GB-1TB-14""HD-Radeon R5-Win10",4300000,2016-01-06,16
"LENOVO IDEAPAD V14-IKB I3 8130U 4GB SSD 256GB 14"" W10 OHS 2019",6050000,2016-01-07,12
LENOVO IDEAPAD S145-14IWL - i5 8265U-4GB-1TB-MX110-WIN10 BLACK,7475000,2016-01-08,12
"Lenovo IdeaPad IP 320 AMD A9 9420 4G 1T VGA DOS 14""",4875000,2016-01-09,16
"Lenovo Ideapad Slim 3 - AMD Ryzen 7 4700U|8GB|512GB|RX Vega 7|14"" Slim",10249000,2016-01-10,26
"Lenovo Ideapad 330s 14IKB (i5 8250U, Win10, 8GB, 1TB, Optane 16GB, 14""",10700000,2016-01-11,7
Lenovo ideapad 330 intel 15 Window 10,4950000,2016-01-12,13
Lenovo Ideapad S145-14IKB i3-8130U/UMA/4GB/512GB SSD/W10H/OHS2019,6499000,2016-01-13,9
Lenovo Ideapad D330 - N4000 /RAM 4GB /Emmc 128GB /10.1-inch /WIN 10,4345000,2016-01-14,18
LENOVO IdeaPad 330-15ARR-Ryzen 7-8GB-1TB-R540-2GB-Win10 Blizzard White,10200000,2016-01-15,13
Lenovo Ideapad IP330-14IGM Celeron N4100 4GB 1TB HDD 81D0005LID Black,4225000,2016-01-16,8
"LENOVO IDEAPAD C340-14API RYZEN 3-3200-8GB-256GB SSD-14"" TOUCH-VEGA 3",8250000,2016-01-17,13
Lenovo Ideapad AMD a4 Ram 4GB HDD 500GB Mulus Super Good Condition,3000000,2016-01-18,7
LENOVO IDEAPAD SLIM 3 14ARE05 RYZEN 7 4700U 8GB 512 SSD WIN10+OHS,10000000,2016-01-19,17
Lenovo Ideapad Yoga S940-1RID GREY Ci7-Gen8/16GBD/512GB/W10H,24999000,2016-01-20,13
LENOVO IdeaPad Gaming 3 5JID | Ryzen 5 4600H 16GB 512SSD GTX1650 4GB,12999000,2016-01-21,12
"LENOVO IDEAPAD SLIM 3 - RYZEN 7-4700U 8GB 512GB SSD 14""FHD W10 OFFICE",9849000,2016-01-22,15
LENOVO IdeaPad 3 14IIL05 I5 1035G1 RAM 8GB SSD 512GB WIN 10 14 INCH,9599000,2016-01-23,23
LENOVO IDEAPAD S145 AMD A9-9425U/8GB/1TB/SSD 256GB/R530 2GB/WN10/OHS,6449000,2016-01-24,21
"LENOVO IDEAPAD 330 [AMD E2-9000E] 4GB RAM/500GB HDD/14""/WIN10",3249000,2016-01-25,15
lenovo ideapad S145-14IKB-i3 8130 4GB/1TB/WIN10+OHS 4GB,6500000,2016-01-26,18
"Lenovo Ideapad S145 - Intel N4000 | 4GB | 512GB SSD | 14"" HD | Win10 |",5375000,2016-01-27,14
LENOVO IdeaPad Flex 5 14IIL05 81X1006AID i7 1065G7 16GB Graphite Grey,15949000,2016-01-28,17
lenovo ideapad slim 3 amd ryzen 5 - 4500u 14ARE05 resmi indonesia,8499999,2016-01-29,16
LENOVO IDEAPAD S145 - AMD A9-9425 - 4GB - 1TB - RADEON R5 - 14 INCH,4699000,2016-01-30,14
Lenovo Ideapad Slim 3 - R3-4300U / 8GB / SSD 512GB / W.10 + OHS,7450000,2016-01-31,14
Lenovo Ideapad Slim 3 14ADA DRID DSID-AMD 3020 4GB 256ssd W10+OHS 14HD,4199000,2016-02-01,16
LENOVO IdeaPad Flex 5 14IIL05 81X1008EID i3 1005G1 8GB,9650000,2016-02-02,16
lenovo ideapad ip310 intel dualcore /ram 2gb/hdd 500gb/win10,3300000,2016-02-03,19
