name,price,date,sales
"ACER ASPIRE 3 A314-32 INTEL N4120/4GB/256GB SSD/14""HD/WIN10/OHS 2019",6299000,2017-02-01,19
ACER ASPIRE 5-A514-INTEL CORE I5-1035G1-MX350 2GB GDDR-RAM 4GB-HDD 1TB,7759000,2017-02-01,42
ACER NITRO 5 AN515-43-R1BL RYZEN5-3550H 8GB SSD 512GB RX560X 4GB WIN10,10599000,2017-02-01,67
"ACER NITRO 5 AN515-52-73Y8 I7-8750H/8GB/1TB/GTX 1060 6GB/15.6"" FHD",13350000,2017-02-01,17
ACER SWIFT 3 SF314-41-R2HG AMD RYZEN™ 5 3500U RAM 4GB SSD 512GB,7650000,2017-02-01,15
"ASUS ROG G531GD - I505G1T I5-9300 8GB 1TB GTX1050 4GB 15.6"" FHD WIN10",12475000,2017-02-01,12
ASUS ROG G531GT I7-9750H 512GB 8GB RAM VGA 1650 FHD IPS RGB,17499000,2017-02-01,45
ASUS ROG G531GV I7R6G1T - I7-9750H 8GB SSD512 RTX2060,23993000,2017-02-01,50
ASUS ROG GL502VM GDDR5X 1060 GAMING/ GL503GE GL503VM GL504GM PREDATOR,11650000,2017-02-01,21
ASUS ROG STRIX G G531GW-I7R7G3B GLACIER BLUE,30999000,2017-02-01,13
ASUS ROG STRIX G512LI I7-10750H 16GB 512GB GTX1650TI-4GB WIN-10 144HZ,16399000,2017-02-01,66
ASUS ROG STRIX G512LU-I766B6P - I7-10750H - 8GB - 512SSD - GTX1660TI 6GB - WIN10 - ELETRONIC PUNK,19499000,2017-02-01,9
ASUS ROG STRIX III G531GD I5-9300H 8GB GTX1050 4GB W10,13145000,2017-02-01,14
ASUS ROG ZEPHYRUS G14 GA401II RYZEN 7 4800HS 8GB 512GB GTX1650TI 4GB,22999000,2017-02-01,21
ASUS ROG ZEPHYRUS G14 GA401IV RYZEN 9 4900 24GB 1TBSSD RTX2060 6GB W10,29399000,2017-02-01,43
ASUS RADEON RX 5700 XT TUF 3 OC 8GB DDR6,7450000,2017-02-01,16
ASUS TUF A15 FX506 - RTX2060 6GB RYZEN 7 4800 8GB 512SSD 15.6FHD WIN10,17599000,2017-02-01,32
