name,price,date,sales
ACER ASPIRE 3 A314-21,3850000,2017-01-01,21
ACER ASPIRE 5 A514-52G NOTEBOOK INTEL I7-10510U 8GB/128GB+1TB STORAGE,13749000,2017-01-01,52
"ACER PREDATOR NITRO 5 - I7-9750H 256GB GTX1650 4GB 15.6"" IPS 144HZ W10",16499000,2017-01-01,43
ACER PREDATOR NITRO 5 AN515-54-729J-I7 9750H 8GB 512GB GTX1650 4GB W10,16799000,2017-01-01,25
ACER PREDATOR NITRO 5 AN515-55 - I5-10300H 8GB 512GB GTX1650 4GB 144HZ,12599000,2017-01-01,30
ASUS ROG G731GT-I765G6T I7 9750H|RAM 8GB|512 SSD|GTX1650 4GB|120HZ,17299000,2017-01-01,16
ASUS ROG STRIX SCAR 17 G732LV-I7R6B6T,30999000,2017-01-01,15
ASUS ROG ZEPHYRUS M GU502GU I7-9750 8GB SSD512 GTX1660 6GB,23492000,2017-01-01,21
ASUS TUF GAMING A15 FX506IH - AMD RYZEN 5 4600H GTX1650 4GB 8GB 512GB SSD 144HZ,12649000,2017-01-01,21
ASUS TUF GAMING A15 FX506IU-R766B7T - AMD RYZEN 7-4800H 8GB 1TB+256SSD GTX1660TI 6GB W10 15.6FHD,17610000,2017-01-01,29
ASUS TUF GAMING A15 FX506IV RYZEN 9 4900H 8GB 512GB RTX2060 6GB 144HZ,21437000,2017-01-01,36
ASUS TUF GAMING A15 FX506II R7-4800H 8GB 512GB GTX1650TI IPS 144HZ W10,15999000,2017-01-01,36
ASUS TUF GAMING FX705GE-I7T79T (I7-8750H/8GB/1TB/GTX1050TI 4GB/W10),14000000,2017-01-01,65
ASUS VIVOBOOK S430UN - I5-8250U-8GB-1TB-256GB-MX150 2GB-WIN10-14FHD,11821000,2017-01-01,5
ASUS ZENBOOK UM425IA-AM702S,13999000,2017-01-01,20
ASUS ZENBOOK Q407 RYZEN 5 4500 8GB 256SSD MX350 2GB W10 14.0FHD,10799000,2017-01-01,30
ASUS ZENBOOK UX333FN A5811T I5 8265U/8GB/512GB/MX150 2GB,16900000,2017-01-01,15
ACER ASPIRE 3 - A315-41 - AMD RYZEN 5 2500U VEGA 8 256GB 8GB 1TB W10H,7971000,2017-01-01,56
ACER ASPIRE ONE D270-26C,4000000,2017-01-01,61
"ACER PREDATOR NITRO 5  AN515-54-729J
CI7-9750H, 15.6""",18300000,2017-01-01,25
ASUS TUF GAMING FX505GT I565B6T -I5-9300H 8GB 512SSD GTX1650 4GB 144HZ,11699000,2017-01-01,18
ASUS VIVOBOOK K413FQ CORE I7-10510U 8GB 512GB SSD VGA 2GB W10HOME 2YR,14650000,2017-01-01,42
ASUS ZENBOOK UX430UN CORE I5 GEN 8TH VGA NVIDIA MX150 FULL HD MULUS,9975000,2017-01-01,19
"ASUS ZENBOOK UX331UAL # I5-8250 8GB SSD256 13""SLIM !!",12397000,2017-01-01,14
DELL INSPIRON 13-5391 INTEL I5-10210U - 8GB - 512GB SSD - MX250 2GB,13400000,2017-01-01,34
DELL INSPIRON 14-3467 CORE I3 7020U | WIN 10,6560000,2017-01-01,40
DELL INSPIRON 3476 (CI3 7020 - 4GB - 1TB - RADEON 2GB - DOS),5950000,2017-01-01,22
DELL INSPIRON 14-3493 I5 1035G1 8GB 256GB SSD W10H,8850000,2017-01-01,43
DELL INSPIRON 3280 ALL IN ONE - CORE I3-8145 - 4GB - 1TB - INTEL HD - WINDOWS 10 HOME,6679000,2017-01-01,32
DELL INSPIRON 3576 I7-8550U /8GB/2TB/AMD RADEON 520/WIN 10 HOME,11700000,2017-01-01,62
DELL INSPIRON 5490 INTEL CORE I5-10210U/8GB/512GB SSD/VGA 2GB/WIN10HSL,11400000,2017-01-01,22
DELL INSPIRON 5593 INTEL CORE I5-1035G1 8GB 512GB SSD VGA 2GB WIN10HSL,11250000,2017-01-01,14
DELL INSPIRON 5490 [CI7-10510U-8-512-NVD-W10-SLV] DELL OFFICIAL,14499000,2017-01-01,15
HP OMEN 15 EK0044TX 144HZ I7 10750H 16GB 1TBSSD RTX2060 6GB W10+OHS,24599000,2017-01-01,16
HP PAVILION X360 14-DH1055TX I7 10510 8GB 512SSD MX250 2GB WIN10+OHS,14999000,2017-01-01,50
HP PAVILION X360 14 DH1001TX DH1033TX - I3 10110 8GB 512SSD MX130 2GB,9059000,2017-01-01,40
LENOVO IDEAPAD 330-15IGM WITH N4000 4GB 500GB SLIM DESIGN DVDRW - HITAM,3692000,2017-01-01,43
"LENOVO IDEAPAD 330/AMD E2-9000E/4GB/500GB/14""/WIN 10",3248000,2017-01-01,38
LENOVO IDEAPAD S145-14IKB - I3 8130U-4GB-1TB-WIN10 BLACK - OHS,6060000,2017-01-01,16
LENOVO IDEAPAD SLIM 3 14IIL05 81WD00PDID I5 1035G1 8GB 512GB MX330 W10,9899000,2017-01-01,12
LENOVO LEGION 5 RYZEN 5 4600H GTX1650TI 512GB16GB 144HZ 100%SRGB WIN10,16999000,2017-01-01,42
LENOVO YOGA SLIM 7 14IIL INTEL I7-1065G7 16GB 1TB SSD MX350 W10+OHS,18299000,2017-01-01,24
"LENOVO IDEAPAD 330 14AST AMD A9-9425,4GB,1TB ,VGA,DOS",5299000,2017-01-01,61
"LENOVO IDEAPAD GAMING 3I - 15IMH | 15,6"" | I7-10750H | GTX 1650TI 4GB | 16GB | WIN 10 HOME + OHS2019",17049000,2017-01-01,11
LENOVO IDEAPAD SLIM 3I /I5-1035G1/8GB/512 GB SSD/MX330 2GB + OHS 2019 - BUSINESS BLACK,9990000,2017-01-01,11
LENOVO IDEAPAD SLIM 5I INTEL CORE I5 1135G7 8GB 512SSD MX450 W10+OHS - GREY,11699000,2017-01-01,32
LENOVO IDEAPAD 310-14IKB I5-7200U HARDISK 1TB WINDOWS 10,6829000,2017-01-01,37
"LENOVO IDEAPAD SLIM 3I 14IIL05 - I3-1005G1 4GB 256GB SSD 14"" WIN10+OHS",6249000,2017-01-01,23
