name,price,date,sales
ACER ASPIRE 3 A315 RYZEN 5 3500 4GB 1TB ATI VEGA 8 DOS BLACK,6690000,2017-12-01,28
ACER ASPIRE 5 A514-52G-58PW -I5-10210U-8GB-512GB-MX250-WIN10-,10000000,2017-12-01,67
ACER ASPIRE 3 A314 49WC 4644 4816 - A4 9120E 4GB 1TB SHARE W10,3499000,2017-12-01,19
"ACER PREDATOR NITRO 5 AN515-55 - I5-10300H - 8GB - 512SSD - GTX1650TI 4GB - 15.6""144HZ -W10 - OFFICE",12599000,2017-12-01,33
ACER PREDATOR NITRO AN515-44 - RYZEN 7-4800H 8GB 512GB GTX1650TI 4GB,15499000,2017-12-01,83
"ACER SWIFT 3 AIR A313-51 - I7-8550U/8GB RAM/ 512GB SSD 13.3"" FHD WIN10",10595000,2017-12-01,25
"ACER SWIFT 3 SF314 I7 8565U 8GB 1TB MX250 2GB 14"" FHD W10 RESMI",10499000,2017-12-01,38
"ACER SWIFT 3 SF314-57 I3-1005G1/4GB/SSD 256GB/14"" FHD IPS/WIND10",15000000,2017-12-01,17
ASUS ROG GAMING GL552VW I7 EDITION W/ GTX 960M 4GB FULL HD IPS DISPLAY,10999000,2017-12-01,40
ASUS ROG RAPTURE GT-AX11000 TRI-BAND GAMING WIFI 6 ROUTER GT AX11000,8149000,2017-12-01,15
ASUS ROG STRIX G512LI-I75TB6T I7-10750H 8GB 512GB GTX1650TI 4GB 144HZ,17675000,2017-12-01,14
ASUS ROG STRIX G512LV-I7R6B6T I7-10750H 16GB 512GB RTX2060 6GB 144HZ,24599000,2017-12-01,23
ASUS ROG ZEPHYRUS G15 GA502IU - RYZEN 7 4800HS 8GB 512SSD GTX1660TI,19899000,2017-12-01,24
ASUS ROG ZEPHYRUS G15 GA502IU R766B8T R7 4800HS 8GB 512GB GTX 1660TI,20299000,2017-12-01,63
"ASUS TUF FX506IH-R565B6B R5 4600 8GB 512SSD GTX1650 4GB 15"" IPS 144HZ",12650000,2017-12-01,20
ASUS TUF GAMING A15 FX506II RYZEN 7 4800H 8GB 512GB GTX1650TI 4GB W10,15599000,2017-12-01,48
"ASUS TUF GAMING F15 FX506LH - I7-10750H - 8GB - 512SSD - GTX 1650 4GB - 15""FHD 144HZ - WIN10",15575000,2017-12-01,15
ASUS TUF GAMING FX705GE-I7T79T (I7-8750H/8GB/1TB/GTX1050TI 4GB/W10),14000000,2017-12-01,11
"ASUS UX461FN E5801T ZENBOOK FLIP I5-8265U-8GB-512GB-2GB-14""FHD W10",14680000,2017-12-01,60
"ASUS VIVOBOOK M409DA RYZEN 5-3500U | 8GB | 1TB | VEGA8 | W10 | 14""FHD",7999000,2017-12-01,45
"ASUS VIVOBOOK 14 K413FQ - I5-10210U 8GB 512GB SSD MX350 2GB W10 14""FHD",11095000,2017-12-01,13
ASUS VIVOBOOK S330FA INTEL I3-8145U 4GB 256GB SSD FHD 13.3,7320000,2017-12-01,29
"ASUS VIVOBOOK X441MA CELERON N400/DDR4 4GB/14""/HDD 1TB/WIN 10",3949000,2017-12-01,22
ACER ASPIRE 3 A314 A4 9120 4GB 1TB W10 14.0 DVD BLK -41.42PE,3599000,2017-12-01,19
ACER ASPIRE 5 A514-51K - I3-7020 MX230 4GB 1TB W10H DVDRW,6699000,2017-12-01,17
"ACER ASPIRE 5 A515-44 RYZEN 5 4500U 8GB 512GB NVME 15.6"" HD OFFICE",9775000,2017-12-01,23
ACER ASPIRE 514-53G-52SR WITH INTEL I5 10TH GEN AND NVIDIA MX350,8499000,2017-12-01,39
"ACER ASPIRE ES1-132-C28Z NOTEBOOK [11.6""/ N3350/ 2GB/ 500GB/WIN",5454000,2017-12-01,24
"ACER PREDATOR NITRO 5 AN515 - R7, RX560X 4GB, 15.6"" 8GB, 1TB+128GB,W10",11214000,2017-12-01,25
ACER SWIFT 3 SF314-41 AMD RYZEN 5 3500U 8GB 1TB VEGA 8 W10H,8889000,2017-12-01,11
ASUS ROG STRIX G531GW I7 9750 16GB 512SSD RTX2070 8GB W10 15.6FHD,24799000,2017-12-01,63
ASUS ROG ZEPHYRUS M15 GU502LW RTX2070 8GB I7 10750 24GB 1TBSSD 15.6FHD,30799000,2017-12-01,46
ASUS TUF A15 FX506IV R7R6B6T | RYZEN 7 4800H 8GB 512SSD RTX 2060 6GB,19949000,2017-12-01,19
ASUS ZENBOOK UM425IA AM701S AM702S RYZEN 7 4700U 16GB 512SSD W10+OHS,13759000,2017-12-01,30
ASUS ZENBOOK UX433FN-A5812T I5 8265U 8GB 512SSD MX150 2GB WIN10,12975000,2017-12-01,19
DELL INSPIRON 15 - G7 - 7588 CORE I7 RAM 16GB / SSD 256GB,22119000,2017-12-01,44
DELL INSPIRON 3671 CORE I7-9700/8GB/1TB+256GB/VGA 4GB/W10HSL + E2219HN,16300000,2017-12-01,26
DELL INSPIRON 7472 I5-8250U|16GB|128GB+1TB|VGA|WIN 10 HOME,14800000,2017-12-01,52
"DELL INSPIRON 7472(14""INCH) CORE I5-8250U/8GB/1TB+128SSD/WIN10HSL",12650000,2017-12-01,47
DELL INSPIRON 3481 [CI3-7020U-4-1T-AMD-W10] DELL INDONESIA,6599000,2017-12-01,31
DELL INSPIRON 3180-A99420-4-500-U-WIN10H-GREY NOTEBOOK,3900000,2017-12-01,44
DESKTOP ACER ASPIRE TC-708 | UX.BC7SD.009,8199000,2017-12-01,12
HP PAVILION 14 CD1055 X360 I5 8265 8GB 256SSD W10 TOUCH,9799000,2017-12-01,9
HP PAVILION X360 14 DH1001TX DH1033TX - I3 10110 8GB 512SSD MX130 2GB,9059000,2017-12-01,67
"LENOVO IDEAPAD 130-15AST - A4-9125-4GB-1TB-RADEON R3-DOS-15.6""HD-BLACK",3670000,2017-12-01,17
LENOVO LEGION 5 2WID RYZEN 5 16GB 512SSD GTX 1650TI 4GB FHD WIN10 OHS,15750000,2017-12-01,40
LENOVO LEGION Y740 15ICH I7-9750H RTX2070 RAM 16GB 256GB+1TB W10 15FHD,25299000,2017-12-01,30
LENOVO IDEAPAD S340 14 RYZEN 5 3500 8GB 512SSD VEGA8 W10+OHS 14.0FHD - RAM 4GB,8699000,2017-12-01,17
LENOVO IDEAPAD SLIM 3 14ARE RYZEN 7 4700 8GB 512SSD VEGA7 W10+OHS 14.0FHD IPS,9849000,2017-12-01,16
LENOVO LEGION Y540 GAMING I7 GEN 9 GDDR6X 2060/ ROG MSI GS65 GE63 GE65,22999000,2017-12-01,10
"LENOVO LEGION Y545 I7-9750H 16GB 512 SSD GTX1660TI 6GB 15.6"" 144HZ W10",19568750,2017-12-01,26
LENOVO LEGION Y740 15IRH I7 9750 16GB 1TB+256SSD RTX2070 8GB,24899000,2017-12-01,22
"LENOVO YOGA 6 13 2IN1 TOUCH RYZEN PRO 5 4650 8GB 256SSD VEGA7 W10 13""",11599000,2017-12-01,56
LENOVO YOGA SLIM7-14IIL05 5RID I5-1035G1 8GB SSD 512GB WIN10+OHS GREY,14245000,2017-12-01,31
NOTEBOOK ACER ASPIRE A311-31-N4000-4GB-500GB-WINDOWS 10 BLACK,3435000,2017-12-01,56
TUF A15 FX506IU-R766B7T RYZEN7-4800H/8GB/1TB+256GB/GTX1660TI 6GB,16999000,2017-12-01,11
"ACER ASPIRE 3 A314-32 INTEL N4120/4GB/256GB SSD/14""HD/WIN10/OHS 2019",4399000,2017-12-02,16
ACER ASPIRE 3 A315-42-R5BH,6645000,2017-12-02,17
ACER ASPIRE 3 A314 32 C2UY CELERON N4120 4GB 1TB W10 / OBSIDIAN BLACK,5149000,2017-12-02,50
ASUS ROG G531GT-I565G1T/ I5 9300HQ-8GB-SSD 512GB-GTX1650 4GB-WIN 10,12800000,2017-12-02,52
ASUS ROG HERO III G731GW - I7 9750H 16GB 512GB RTX2070 8GB 144HZ,25499000,2017-12-02,65
ASUS ROG SCAR G532LV-I7R6C6T I7-10875H 16GB 1TB RTX2060 6GB 240HZ,29425000,2017-12-02,16
ASUS ROG STRIX HERO III G531GW - I7 9750H 16GB 512GB RTX2070 8GB 144HZ,24999000,2017-12-02,25
ASUS ROG ZEPHYRUS M15 GU502LU-I766C8T I7-10750H 16GB 1TB GTX1660TI 6G,24699000,2017-12-02,21
ASUS ROG ZEPHYRUS M GU502GU-I7662T I7-9750H 8GB 512GB GTX1660TI 6GB,24679000,2017-12-02,52
ASUS TUF FX505DT R5596T | R5 3550H 8GB 1TB GTX1650 4GB 15.6FHD 120HZ,12000000,2017-12-02,61
ASUS TUF GAMING A15 FX506IU-R766B7T - AMD RYZEN 7-4800H 8GB 1TB+256SSD GTX1660TI 6GB W10 15.6FHD,17500000,2017-12-02,19
"ASUS VIVOBOOK 14 K413FQ - I5-10210U 8GB 512GB MX350 2GB 14"" FHD W10",12583000,2017-12-02,8
ASUS VIVOBOOK FLIP TM420IA EC751TS | RYZEN 7 4700U 16GB 512SSD W10,12288000,2017-12-02,32
ASUS ZENBOOK 14 UM425IA AMD RYZEN 5-4500U 8GB 512GB SSD W10+OHS,11999000,2017-12-02,53
ASUS ZENBOOK FLIP UX461UN-BO702T I7-8550U/16GB/SSD512/MX150 2GB/WIN10,20525000,2017-12-02,15
ASUS ZENBOOK S UX392FN - I7 8565U 16GB 512GB MX150 2GB FHD,17100000,2017-12-02,45
"ACER ALL IN ONE ASPIRE C22 865 I3-8130U/4GB/1TB/DVD/21.5""/W10/KEY MOUSE",6799000,2017-12-02,64
