id_barang,name,price,date,sales
1796,ACER Aspire 3 A314 49WC 4644 4816 - A4 9120E 4GB 1TB share W10,3499000,2017-12-01,19
1797,"ACER ASPIRE 3 A314-32 Intel N4120/4GB/256GB SSD/14""HD/WIN10/OHS 2019",4399000,2017-12-02,16
1798,Acer Aspire 3 A314-21 A4 9120E 4GB 1TB Win10 14.0,3599000,2017-12-03,31
1799,Acer Aspire 5 A514 37NR i3 8130 4GB 1TB MX230 2GB W10+OHS 14.0 HD DVD,6675000,2017-12-04,7
1800,"Acer Aspire 3 A314-21-AMD A4 9120E 4GB 256SSD 14""HD W10 -Hitam",3700000,2017-12-05,20
1801,Acer Aspire 5 A514-52G - i7-10510U 8GB 1TB SSD MX250 W10H OHS 2019,13320000,2017-12-06,17
1802,Acer Aspire 3 A314-32 Intel N4100 4GB 1TB HDD 14HD,3769000,2017-12-07,18
1803,Acer Aspire 3 A314 Ryzen 3 3250 8GB 1TB Vega3 W10 (PRE) 14.0,5799000,2017-12-08,17
1804,Acer Aspire 3 A315 AMD RYZEN 5 2500U 8GB 1TB WIN 10,6690000,2017-12-09,27
1805,Acer Aspire 3A A314-21-93Tj/98MH/93TT,4400000,2017-12-10,20
1806,Acer Aspire 3 A315-42-R34T [AMD Ryzen 5 3500U],7399000,2017-12-11,20
1807,"ACER ASPIRE E5-476G I5 8250U - 8GB/1TB HDD/ MX130 2GB/ DOS/ 14"" HD",7981000,2017-12-12,13
1808,Acer Aspire 3 A314 - 42PE/455L AMD A4 9120E 4GB 1TB DVD W10,3599000,2017-12-13,17
1809,Acer Aspire 5 A514 53 32H2 i3 1005G1 4GB 512SSD Win OHS MAGICAL COLOR,6490000,2017-12-14,14
1810,Acer Aspire 5 A514-51K - i3-7020 MX230 4GB 1TB W10H DVDRW,6699000,2017-12-15,16
1811,HP Omen 15-dh0180TX i7 9750H 16GB 1TB+512ssd RTX2060 6GB W10+OHS,22890000,2017-12-16,15
1812,"HP OMEN 15-ce198wm i7-8750H 16GB 256SSD + 1TB GTX1060 Win10 15.6""FHD",18481000,2017-12-17,22
1813,HP OMEN 15-DH0105TX I7 9750H 16GB 1TB+512GB-SSD RTX2060-6GB W10,22180000,2017-12-18,19
1814,ASUS ROG GL531GT - I7-9750H-16GB-512GB SSD-GTX1650-4GB-15.6 120Hz,16465000,2017-12-19,7
1815,ASUS ROG ZEPHYRUS G15 GA502IU-R766B6T R7-4800HS 8GB 512G GTX1660TI 6GB,20899000,2017-12-20,16
