id_barang,name,price,date,sales
1462,Lenovo Legion 5 15IMH05 - i5-10300H/16 GB/512 GB SSD (82AU0066ID),16999000,2017-01-01,19
1463,Lenovo Legion 5i i7 10750 16GB 512ssd GTX1660Ti 6GB W10 15.6FHD,17999000,2017-01-02,15
1464,ACER ASPIRE E5-476G i5-8250U / RAM 4GB / 1TB+128GB SSD / Nvidia MX130,8499000,2017-01-03,10
1465,Lenovo Legion 5i i7 10750 16GB 512SSD GTX1660Ti 6GB W10 15.6FHD,17999000,2017-01-04,16
1466,LENOVO LEGION Slim 7i 15IMHg05 81YU006CID i7 10875H 16GB 1TB RTX2060,28899000,2017-01-05,14
1467,Lenovo Legion 5 15IMH05 - i7-10750H/16 GB/512 GB SSD (81Y6004RID),21999000,2017-01-06,24
1468,Lenovo Legion 5i 4RID i7-10750H 16GB 512ssd GTX 1660Ti 6GB W10+OHS,20399000,2017-01-07,14
1469,Lenovo Legion Y540 15iRH i7 9750 16GB 1TB+512ssd RTX2060 6GB 15.6FHD,19899000,2017-01-08,20
1470,"LENOVO Legion Y540-15IRH-H6ID i7-9750H GTX1650-4GB 512GB 15.6"" 144Hz",15999000,2017-01-09,18
1471,Lenovo Legion Y540-15IRH-MTID I5-9300H 8GB 512GB SSD GTX1650 4GB WIN10,12999000,2017-01-10,11
1472,"LENOVO LEGION 5i - i7-10750H 16GB 512GB GTX1650 4GB 15,6""FHD 144Hz W10",18499000,2017-01-11,14
1473,Lenovo Legion 5i 4RID 144Hz i7Gen10 16GB 512GB GTX1660Ti 6GB,20499000,2017-01-12,17
1474,"Lenovo Legion 7i i7-10875H 16GB 1TB SSD RTX2060 6GB Win10 15,6 144Hz",29349000,2017-01-13,7
1475,Acer Aspire 5 A514-52G - i5-10210U 8GB 512GB 1TB MX250 W10H OHS 2019,11099000,2017-01-14,16
1476,"Acer Aspire 3 - A314 # A9-9420 4GB HDD1tb 14"" W10",4297000,2017-01-15,29
1477,"ACER Aspire 5 A514 - i5-10210U 4Gb 1Tb MX250 2Gb Non DVD 14"" DOS",7500000,2017-01-16,15
1478,Acer PREDATOR PH517-61 (HELIOS 500) 16GB 256GB AMD RYZEN 7 RX VEGA56,21499000,2017-01-17,14
1479,ACER ASPIRE 3 RYZEN R3 3200U 4GB 1TB+128GB SSD RADEON RX VEGA 3 WIN10,6599000,2017-01-18,10
1480,Acer Aspire 5 A514-52G - i5-10210U 4GB 1TB MX250 W10H,8650000,2017-01-19,16
1481,Acer Aspire 5 High Performance A514-51G i5-8265U 1TB 4GB MX230 W10H,8150000,2017-01-20,22
1482,Acer Aspire 5 A514 i5-10210U RAM 4GB HDD 1TB Nvidia MX250 2GB,8149000,2017-01-21,13
1483,"ACER ASPIRE A514-51G i5-8265U|4GB|1TB|MX230 2GB|14""|WIN 10",7950000,2017-01-22,21
