name,price,location,sold,date
LCD LED Screen Panel 13.3 Slim Acer Aspire S3 Series Silver,2.000.000,KOTA JAKARTA PUSAT,0,14-01-2021
Toshiba R732,2.599.000,KOTA SEMARANG,11,14-01-2021
Laptop ACER ASPIRE 3 A314-22 | NX.HVVSN.00L BONUS MOUSE WIRED,5.599.000,KOTA TANGERANG SELATAN,18,14-01-2021
"acer aspire es1-431 N3050 RAM 4GB HDD 500GB
",3.950.000,KOTA JAKARTA BARAT,1,14-01-2021
Acer Aspire V5 132,2.000.000,KOTA BANDUNG,1,14-01-2021
ACER ASPIRE S3 INTEL CORE I7 GEN3,4.500.000,KAB. BANDUNG,1,14-01-2021
ACER ASPIRE 2IN1 R7 372RT I5 6200U 8GB RAM 128GB SSD,5.150.000,KOTA JAKARTA SELATAN,3,14-01-2021
"ACER ASPIRE 3 SLIM A314 AMD RYZEN 3 3250 RAM4/8GB SSD512GB 14""HD WINDOWS 10 + OHS ORIGINAL",6.949.000,KOTA JAKARTA PUSAT,2,14-01-2021
Acer Aspire 5 Slim A515 R7NZ - AMD Ryzen 5 4500 8GB 512ssd Vega 6 W10+OHS,8.899.000,KOTA JAKARTA UTARA,2,14-01-2021
Laptop Notebook Netbook Acer Aspire One 722 Murah Bergaransi Siap Pakai,1.600.000,KOTA TANGERANG SELATAN,3,14-01-2021
Acer Aspire S3 Series Intel Core i3 2th 4gb second,2.700.000,KOTA BANDUNG,1,14-01-2021
Acer Aspire 5 A514 53 3852 Core i3 1005G1 SSD 512GB W10 OHS Full HD,7.750.000,KOTA PALEMBANG,1,14-01-2021
ACER ASPIRE 3 A314-21-4816(RED)AMD DUAL CORE A4 9120E 4GB 1TB AMD RADEON R3 WIN10,4.600.000,KOTA JAKARTA BARAT,1,14-01-2021
"Acer Aspire 5 A515-44-R7NZ [15.6""/R5-4500/8GB/SSD512/OHS] Black [NX.HW1SN.006]",8.799.000,KOTA JAKARTA TIMUR,1,14-01-2021
"Laptop Acer Aspire 3 A314-41-42PE, AMD A4-9120e Ram 4gb HDD 1tb",4.250.000,KOTA BOGOR,1,14-01-2021
Acer Aspire E5 475G Grey i5-7200U/4GB/1TB/940MX-2GB Second,6.299.000,KAB. BANDUNG,6,14-01-2021
Acer Aspire 5 (A514-53) Magical Color,7.699.000,KOTA MEDAN,3,14-01-2021
Acer Aspire 3 A314 Ryzen 3 3250U 8GB 256ssd FHD FREE OHS 2019,6.899.000,KOTA BEKASI,1,14-01-2021
Acer Aspire E1-471 Intel Core i3 HDD 500GB RAM 2GB Win Windows 7 Laptop Bekas Second Murah,2.100.000,KAB. INDRAMAYU,1,14-01-2021
"ACER ASPIRE 3 SLIM A314-22 - RYZEN 5-3500U - 8GB - 512GB SSD - 14""FHD - WIN10 - OFFICE HOME STUDENT",8.299.000,KOTA JAKARTA BARAT,53,14-01-2021
Acer ASPIRE 515 44 R7NZ RYZEN 5 4500U 8GB 512 SSD 15 HD W10 + OHS 2019,8.799.000,KOTA SURABAYA,30,14-01-2021
Laptop Acer Aspire ES1-420 AMD E1/4GB/320GB Second,1.999.000,KAB. BANDUNG,4,14-01-2021
Acer Aspire V5-431,1.650.000,KOTA TANGERANG,1,14-01-2021
Acer Aspire 3 A314 Ryzen 5 3500 4GB 256ssd Vega8 W10PRE 14.0,7.650.000,KOTA BEKASI,1,14-01-2021
"Laptop Acer Aspire 3 A314-21-49WC, AMD A4-9120e RAM 4GB Hdd 1000Gb-second",4.200.000,KOTA BOGOR,1,14-01-2021
ACER Aspire A314 22 R4L8 AMD Ryzen 3 3250U 4GB 256GB HDD 1TB SSD Vega3 14.0 HD WIN10 OHS 2019,7.450.000,KOTA MALANG,1,14-01-2021
LAPTOP ACER ASPIRE  E14 E5 475 i3 RAM 4GB HDD 500GB WINDOWS 10,5.895.500,KOTA JAKARTA BARAT,2,14-01-2021
Acer Aspire 3 A314 Ryzen 3 3250 4GB 1TB Vega3 W10 (PRE) 14.0,6.299.000,KOTA BEKASI,1,14-01-2021
Promo Murah Acer Aspire AIO C20-830/J-4025/4GB/1TB/19inch/WIN 10/Resmi,4.884.000,KOTA SURABAYA,4,14-01-2021
ACER ASPIRE ONE 11.6 INCI N23G/2GB/500GB SCOND,1.750.000,KAB. BOJONEGORO,4,14-01-2021
