name,sold,price,date
"HP Omen 15 2020 Ryen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",9,17.899.000,2021-01-14
"HP Omen 15 2020 Ryzen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",14,17.999.000,2021-01-14
HP Omen 15 GTX1660Ti 6GB 144Hz Ryzen 7 4800H 16GB 512ssd Win10 15.6FHD,163,17.849.000,2021-01-14
HP Omen 15 Ryzen 7 4800 16GB 1TB ssd GTX1660Ti 6GB W10 15.6FHD,42,18.499.000,2021-01-14
HP Omen 15 Ryzen 7 4800 16GB 512ssd | 1TB SSD GTX1660Ti 6GB W10 15.6FHD,28,17.849.000,2021-01-14
HP Omen 15 dh1020TX GeForce® RTX 2070 SUPER™ - i7 10750 32GB,3,32.099.000,2021-01-14
HP Omen 15 i7 9750 16GB 1TB+512ssd RTX2060 6GB W10 15.6FHD,15,20.699.000,2021-01-14
HP PAVILION 14-DV0065TX DV0066TX i5-1135G7 8GB 512SSD MX450 2GB WIN10,86,11.999.000,2021-01-14
HP PAVILION 15 CORE i5-8250U/8GB/256GB/TOUCH - SECOND,15,8.700.000,2021-01-14
HP PAVILION 15-EC0107AX R5 3550H 8GB 512GB SSD GTX1650 IPS WIN 10 not EC0001AX,75,12.498.000,2021-01-14
HP PAVILION GAMING 15 DK1041TX  i7-10750H - 8GB - 1TB+256SSD - GTX1650 4GB - W10 - OFFICE - 144Hz,679,14.999.000,2021-01-14
"HP PAVILION GAMING 15-DK1041TX-CORE 17 10750H-8GB-SSD256GB+1TB-GTX1650 - WARNA, RAM ORI 8GB",7,14.909.520,2021-01-14
HP PAVILION Gaming 15-dk1064TX i5-10300H 8GB 512SSD RTX2060 6GB FHD WIN10 OHS,99,15.900.000,2021-01-14
HP PAVILION X360 15-8130U-8GB-256GB-TOUCH-WIN10-SILVER-Second-AMB2,3,6.465.000,2021-01-14
HP Pav Gaming 15-DK1064TX (Black Green) -  Intel i5-10300H(2.5Ghz),0,16.299.000,2021-01-14
"HP Pavilion 13 - AN1035TU-34TU - i5-1035G1, 13.3"", 8GB, 512GB SSD, W10",22,10.850.000,2021-01-14
HP Pavilion 13 AN0031 i3 8145U 8GB 128GB-SSD INTEL-HD620 WIN-10,15,7.799.000,2021-01-14
HP OMEN 15-en0013AX RYZEN 7-4800H 512GB SSD 144hz 16GB RTX 2060 6GB,522,22.499.000,2021-01-14
"HP OMEN 15-ek0044TX - i7-10750H 16GB 1TB SSD RTX 2060 6GB 15.6"" 144Hz",70,24.499.000,2021-01-14
