name,price,date,sales
"HP Omen 15 2020 Ryen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",17.899.000,2013-01-01,13
"HP Omen 15 2020 Ryzen 7-4800H 16GB 512GB GTX1660Ti 6GB Win10 15,6 FHD",17.999.000,2013-01-02,11
HP Omen 15 GTX1660Ti 6GB 144Hz Ryzen 7 4800H 16GB 512ssd Win10 15.6FHD,17.849.000,2013-01-03,14
HP Omen 15 Ryzen 7 4800 16GB 1TB ssd GTX1660Ti 6GB W10 15.6FHD,18.499.000,2013-01-04,13
HP Omen 15 Ryzen 7 4800 16GB 512ssd | 1TB SSD GTX1660Ti 6GB W10 15.6FHD,17.849.000,2013-01-05,10
HP Omen 15 dh1020TX GeForce® RTX 2070 SUPER™ - i7 10750 32GB,32.099.000,2013-01-06,12
HP Omen 15 i7 9750 16GB 1TB+512ssd RTX2060 6GB W10 15.6FHD,20.699.000,2013-01-07,10
HP PAVILION 14-DV0065TX DV0066TX i5-1135G7 8GB 512SSD MX450 2GB WIN10,11.999.000,2013-01-08,9
HP PAVILION 15 CORE i5-8250U/8GB/256GB/TOUCH - SECOND,8.700.000,2013-01-09,12
HP PAVILION 15-EC0107AX R5 3550H 8GB 512GB SSD GTX1650 IPS WIN 10 not EC0001AX,12.498.000,2013-01-10,9
HP PAVILION GAMING 15 DK1041TX  i7-10750H - 8GB - 1TB+256SSD - GTX1650 4GB - W10 - OFFICE - 144Hz,14.999.000,2013-01-11,9
"HP PAVILION GAMING 15-DK1041TX-CORE 17 10750H-8GB-SSD256GB+1TB-GTX1650 - WARNA, RAM ORI 8GB",14.909.520,2013-01-12,7
HP PAVILION Gaming 15-dk1064TX i5-10300H 8GB 512SSD RTX2060 6GB FHD WIN10 OHS,15.900.000,2013-01-13,10
HP PAVILION X360 15-8130U-8GB-256GB-TOUCH-WIN10-SILVER-Second-AMB2,6.465.000,2013-01-14,12
HP Pav Gaming 15-DK1064TX (Black Green) -  Intel i5-10300H(2.5Ghz),16.299.000,2013-01-15,5
"HP Pavilion 13 - AN1035TU-34TU - i5-1035G1, 13.3"", 8GB, 512GB SSD, W10",10.850.000,2013-01-16,7
HP Pavilion 13 AN0031 i3 8145U 8GB 128GB-SSD INTEL-HD620 WIN-10,7.799.000,2013-01-17,16
HP OMEN 15-en0013AX RYZEN 7-4800H 512GB SSD 144hz 16GB RTX 2060 6GB,22.499.000,2013-01-18,7
"HP OMEN 15-ek0044TX - i7-10750H 16GB 1TB SSD RTX 2060 6GB 15.6"" 144Hz",24.499.000,2013-01-19,18
HP OMEN 15-EK0044TX i7-10750H 16GB 1TB RTX2060 6GB 144Hz Win10+OHS,24.499.000,2013-01-20,15
HP OMEN 15-DH0180TX - i7-9750H 16GB 512GB 1TB RTX2060 6GB WIN10 OHS,23.895.000,2013-01-21,8
HP Envy X360 13 AMD RYZEN 7 4700U 8GB 512GB W10 13.3FHD,15.099.000,2013-01-22,7
HP Envy X360 13-AG0023AU Ryzen 7 SSD 512GB Win 10,15.399.000,2013-01-23,9
HP Envy X360 Convertible Ryzen 7 SSD 512GB,8.750.000,2013-01-24,8
HP Envy x360 13 Ryzen 7 4700U 16GB 512ssd Vega 10 W10 13.3FHD AY0006AU,18.499.000,2013-01-25,14
"HP Envy x360 13 ar0108au Ryzen 7 3700u 16GB 512 SSD 13"" FHD TOUCH WIN",15.699.000,2013-01-26,12
HP Envy x360 13 ay0006AU 2in1 Touch Ryzen 7 4700 16GB 512ssd Vega7 W10,18.499.000,2013-01-27,12
HP Envy x360 13-ay0005AU Ryzen 5 4500 8GB 512GB-SSD Vega-8 WIN10,17.499.000,2013-01-28,11
"HP Envy x360 15 Ryzen 5-4500U 16GB 512GB Radeon Vega 8 Win10 15,6 FHD",13.899.000,2013-01-29,6
HP Pavilion 14 - dv0065TX dv0066TX i5 1135G7 8GB 512ssd MX450 2GB OHS,11.999.000,2013-01-30,9
"HP Envy x360 15 Ryzen 5-4500U 8GB 256GB Radeon Vega 8 Win10 15,6 FHD",11.899.000,2013-01-31,13
HP GAMING PAVILION 15-EC1076AX - RYZEN 7-4800H - 16GB - 512SSD - GTX1660Ti 6GB - WIN10 - OFFICE,16.399.000,2013-02-01,11
HP Gaming Pavilion 15-dk1064TX i5-103000H 8GB 512GB SSD RTX2060 Win 10+OHS,15.699.000,2013-02-02,21
HP OMEN 15 144hz - AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB Win10,17.849.000,2013-02-03,15
HP OMEN 15 144hz AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB W10,17.849.000,2013-02-04,14
HP OMEN 15 144hz AMD Ryzen 7 4800H 16GB 512ssd GTX1660TI 6GB W10 -Blac,17.899.000,2013-02-05,9
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 1TB SSD - Mica Silver,18.699.000,2013-02-06,10
HP OMEN 15 GTX 1660Ti - 144HZ - RYZEN 7 4800H - 16GB RAM - 512GB SSD - Mica Silver,18.049.000,2013-02-07,13
HP OMEN 15 en0045ax | Ryzen 5 4600H 16GB 512SSD GTX1660Ti 6GB 144hz,17.799.000,2013-02-08,11
"HP Envy x360 15 Ryzen 7-4700U 16GB 512GB AMD Radeon Win10 15,6 FHD",15.999.000,2013-02-09,14
HP Envy 15 X360 Touch | Ryzen 7 4700 8GB 512ssd Vega7 W10 15.6FHD,14.799.000,2013-02-10,11
HP Pavilion 14 X360 Touch i5 10210 8GB 256ssd W10 14.0FHD,10.199.000,2013-02-11,16
HP Pavilion 14 X360 Touch i5 1035G1 8GB 512ssd W10 14.0FHD,11.500.000,2013-02-12,11
Hp Envy X360 13 Ryzen 5 4500U 8GB 512SSD WIN10+OHS AY0005AU,15.999.000,2013-02-13,14
Hp Envy x360 13-ay0006AU Ryzen 7 4700 16GB 512ssd Vega7 W10+OHS 13.3,18.999.000,2013-02-14,10
Hp Pavilion X360 14 dh1001TX - i3 10110 8GB 512 VGA 2GB 14FHD Touch,9.349.000,2013-02-15,11
IdeaPad Gaming 3 - i7-10750H/16Gb/512SSD/Win10/GTX1650 (81Y400AUID),16.099.000,2013-02-16,7
"HP Pavilion x360 dh1001TX 14"" FHD Core i3-10110U 8GB 512GB SSD Nvidia MX130 2GB WIN10 dh1033TX",9.759.000,2013-02-17,11
HP Pavilion x360 14-dh1033tx i3-10110U 8 GB 512 GB SSD NVME Win10 GOLD,9.999.000,2013-02-18,10
HP Pavilion X360 Convertible 13-U027TU Ci5 6200U 8GB Touchscreen,12.000.000,2013-02-19,10
"HP Pavilion X360 14-dh1054TX dh1055TX i7-10510 8GB 512GB MX250 14"" W10",15.499.000,2013-02-20,7
HP Pavilion 14 dv0065TX i5 1135G7 8GB 512ssd MX450 2GB W10+OHS 14.0FHD,11.999.000,2013-02-21,13
HP Pavilion 14-dv0065TX dv0066TX i5-1135G7 8GB 512GB MX450 2GB W10 OHS,12.499.000,2013-02-22,12
HP Pavilion 15 dk1064TX GeForce RTX™ 2060 MaxQ i5 10300 8GB 512ssd - No bunding,15.449.000,2013-02-23,15
