name,price,date,sales
ASUS Vivobook A409FA- BV351T/BV352T,6850000,2016-01-26,12
"ASUS VIVOBOOK A412FA I3-8145U 4GB 512GB SSD 14"" FHD WIN10",7999000,2015-07-13,15
ASUS VIVOBOOK M409BA-BV411T / M409BA-BV412T A4 9125 1TB 4GB Notebook,3989000,2013-08-19,24
ASUS VivoBook MAX X441BA - A9 9425/1TB/4GB/Radeon R5 - Win 10 Home,4898000,2015-07-02,20
Notebook ASUS VivoBook MAX X441MA - Dual Core N4000/1TB/4GB - Win 10,4014000,2017-07-31,22
ASUS VIVOBOOK MAX X441UA - i3 7020U - 4GB - 1TB - 14 INCI -WINDOWS 10,5725000,2017-12-10,22
VIVOBOOK Asus S330FA-EY303T I3-8145U--SSD 256GB--RAM 4GB--Win 10--RESM,7069000,2013-05-12,17
vivobook asus e203mah fd013t notebook petal pink,4900000,2013-09-21,20
Notebook Asus VivoBook E203-MAH - N4000|4GB|500GB|Win 10,3880000,2015-04-19,12
"ASUS VIVOBOOK K403FA I3-8145 4GB 512GB SSD 14"" FHD WIN10",7899000,2016-02-13,20
"ASUS Vivobook X441UA-GA311T 14"" HD/Intel Core i3-7020U/4GB/1TB - Grey",6099000,2015-12-08,25
Notebook ASUS VivoBook MAX X441MA - Dual Core N4000/1TB/4GB - Win 10,4014000,2017-05-22,29
Asus vivobook flip TP203Na N3350 dualcore,5000000,2016-08-09,29
ASUS VIVOBOOK X540 Celeron N3060 RAM 4GB HDD 500GB LAYAR 15INC DVDRW,3775000,2016-10-24,21
Asus Vivobook A409MA-BV412T Intel N4020 4GB 1TB Win10 Grey,4040000,2013-02-07,26
ASUS VivoBook M413DA,6999000,2014-07-23,17
"ASUS VIVOBOOK M409DA RYZEN 5-3500U | 8GB | 1TB | VEGA8 | W10 | 14""FHD",7999000,2014-11-30,21
"NOTEBOOK ASUS VIVOBOOK E203MAH-FD011T 11,6"" INTEL N4000 WINDOWS ORI",3400000,2014-04-13,8
Notebook ASUS VivoBook MAX X441MA - Dual Core N4000/1TB/4GB - Win 10,4014000,2013-02-11,19
ASUS VIVOBOOK X441UA-GA312T SILVER,6750000,2016-11-10,24
"Asus VivoBook E402BA-GA001T AMD A4 9125 4GB 500GB Radeon R3 Win10 14""",3825500,2014-03-28,14
"Acer Aspire 3 A314-33 DC N4000 Win10 (14""/UMA/500GB/4GB)",4240000,2014-01-22,18
Acer Aspire 3 A314 N4120 Quadcore 4GB 1TB W10 14 -32.C2UY -C000 -C4WL,3699000,2016-04-27,16
"Acer Aspire 3 A314-41|A9 9420E 4GB 1TB Radeon R5 14"" HD W10| 983D/9556",4700000,2014-08-04,11
Acer Aspire 5 514-52K i3-8130U/8GB/256GB/UMA/W10H,6590000,2014-02-09,13
