name,price,date,sales
HP PAVILION 14-DV0065TX DV0066TX i5-1135G7 8GB 512SSD MX450 2GB WIN10,11999000,2013-01-08,9
HP PAVILION 15 CORE i5-8250U/8GB/256GB/TOUCH - SECOND,8700000,2013-01-09,12
HP PAVILION 15-EC0107AX R5 3550H 8GB 512GB SSD GTX1650 IPS WIN 10 not EC0001AX,12498000,2013-01-10,9
HP PAVILION GAMING 15 DK1041TX  i7-10750H - 8GB - 1TB+256SSD - GTX1650 4GB - W10 - OFFICE - 144Hz,14999000,2013-01-11,9
"HP PAVILION GAMING 15-DK1041TX-CORE 17 10750H-8GB-SSD256GB+1TB-GTX1650 - WARNA, RAM ORI 8GB",14909520,2013-01-12,7
HP PAVILION Gaming 15-dk1064TX i5-10300H 8GB 512SSD RTX2060 6GB FHD WIN10 OHS,15900000,2013-01-13,10
"HP Pavilion 13 - AN1035TU-34TU - i5-1035G1, 13.3"", 8GB, 512GB SSD, W10",10850000,2013-01-16,7
HP Envy X360 13 AMD RYZEN 7 4700U 8GB 512GB W10 13.3FHD,15099000,2013-01-22,7
HP Envy X360 13-AG0023AU Ryzen 7 SSD 512GB Win 10,15399000,2013-01-23,9
HP Envy X360 Convertible Ryzen 7 SSD 512GB,8750000,2013-01-24,8
"HP Envy x360 13 ar0108au Ryzen 7 3700u 16GB 512 SSD 13"" FHD TOUCH WIN",15699000,2013-01-26,12
"HP Envy x360 15 Ryzen 5-4500U 16GB 512GB Radeon Vega 8 Win10 15,6 FHD",13899000,2013-01-29,6
HP Pavilion 14 - dv0065TX dv0066TX i5 1135G7 8GB 512ssd MX450 2GB OHS,11999000,2013-01-30,9
"HP Envy x360 15 Ryzen 5-4500U 8GB 256GB Radeon Vega 8 Win10 15,6 FHD",11899000,2013-01-31,13
HP Gaming Pavilion 15-dk1064TX i5-103000H 8GB 512GB SSD RTX2060 Win 10+OHS,15699000,2013-02-02,21
"HP Envy x360 15 Ryzen 7-4700U 16GB 512GB AMD Radeon Win10 15,6 FHD",15999000,2013-02-09,14
HP Envy 15 X360 Touch | Ryzen 7 4700 8GB 512ssd Vega7 W10 15.6FHD,14799000,2013-02-10,11
HP Pavilion 14 X360 Touch i5 10210 8GB 256ssd W10 14.0FHD,10199000,2013-02-11,16
HP Pavilion 14 X360 Touch i5 1035G1 8GB 512ssd W10 14.0FHD,11500000,2013-02-12,11
Hp Envy X360 13 Ryzen 5 4500U 8GB 512SSD WIN10+OHS AY0005AU,15999000,2013-02-13,14
Hp Pavilion X360 14 dh1001TX - i3 10110 8GB 512 VGA 2GB 14FHD Touch,9349000,2013-02-15,11
"HP Pavilion x360 dh1001TX 14"" FHD Core i3-10110U 8GB 512GB SSD Nvidia MX130 2GB WIN10 dh1033TX",9759000,2013-02-17,11
HP Pavilion x360 14-dh1033tx i3-10110U 8 GB 512 GB SSD NVME Win10 GOLD,9999000,2013-02-18,10
HP Pavilion X360 Convertible 13-U027TU Ci5 6200U 8GB Touchscreen,12000000,2013-02-19,10
"HP Pavilion X360 14-dh1054TX dh1055TX i7-10510 8GB 512GB MX250 14"" W10",15499000,2013-02-20,7
HP Pavilion 14 dv0065TX i5 1135G7 8GB 512ssd MX450 2GB W10+OHS 14.0FHD,11999000,2013-02-21,13
HP Pavilion 14-dv0065TX dv0066TX i5-1135G7 8GB 512GB MX450 2GB W10 OHS,12499000,2013-02-22,12
HP Pavilion 15 dk1064TX GeForce RTX™ 2060 MaxQ i5 10300 8GB 512ssd - No bunding,15449000,2013-02-23,15
HP Pavilion 15-DK1064TX [i5-10300H/8GB/512GB/RTX2060MAXQ-6GB/W10+OHS],15850000,2013-02-25,7
HP Pavilion 14 X360 Touch i5 1035G1 8GB 256ssd W10 14.0FHD Gold,10099000,2013-02-28,10
HP Pavilion Gaming 15 DK1064TX I5-10300H 8GB 512GB RTX 2060 6GB 144Hz,15598000,2013-03-01,15
"HP Pavilion Gaming 15 Ryzen 7-3750H 16GB 512GB GTX1650 Win10 15,6 FHD",12799000,2013-03-02,13
HP Pavilion Gaming 15-dk0042TX i7 9750H|8GB|1TB+256 SSD|GTX1650 4GB,14899000,2013-03-08,15
HP Pavilion Gaming 15-dk0042tx I7-9750H 8GB SSD 256GB + HDD 1000GB NVIDIA GTX1650 4GB,12150000,2013-03-09,16
HP Pavilion Gaming 15 Ryzen 7 3750 8GB 512ssd GTX1650 4GB W10 15.6FHD,12299000,2013-03-10,11
HP Envy 15 X360 Touch i5 10210 8GB 256ssd+OPT 16GB W10 15.6FHD,12199000,2013-03-11,18
HP Envy 15 X360 Touch Ryzen 5 4500U 8GB 512ssd Vega6 Win10 15.6FHD,12699000,2013-03-12,14
"HP - ENVY x360 2-in-1 15.6"" Touch-Screen - AMD Ryzen 5 4500 - 8GB - 512GB SSD - Nightfall Black",12699000,2013-03-13,13
HP ENVY 13-AQ0016TX GRAPHIC WINDOWS 10,14999999,2013-03-22,21
