name,price,date,sales
ASUS Vivobook A409FA- BV351T/BV352T,6850000,2013-06-03,12
"ASUS VIVOBOOK A412FA I3-8145U 4GB 512GB SSD 14"" FHD WIN10",7999000,2013-06-04,15
ASUS VIVOBOOK M409BA-BV411T / M409BA-BV412T A4 9125 1TB 4GB Notebook,3989000,2013-06-05,24
ASUS VivoBook MAX X441BA - A9 9425/1TB/4GB/Radeon R5 - Win 10 Home,4898000,2013-06-08,20
Notebook ASUS VivoBook MAX X441MA - Dual Core N4000/1TB/4GB - Win 10,4014000,2013-06-12,22
ASUS VIVOBOOK MAX X441UA - i3 7020U - 4GB - 1TB - 14 INCI -WINDOWS 10,5725000,2013-06-14,22
VIVOBOOK Asus S330FA-EY303T I3-8145U--SSD 256GB--RAM 4GB--Win 10--RESM,7069000,2013-06-28,17
vivobook asus e203mah fd013t notebook petal pink,4900000,2013-06-29,20
Notebook Asus VivoBook E203-MAH - N4000|4GB|500GB|Win 10,3880000,2013-07-03,12
"ASUS VIVOBOOK K403FA I3-8145 4GB 512GB SSD 14"" FHD WIN10",7899000,2013-07-08,20
"ASUS Vivobook X441UA-GA311T 14"" HD/Intel Core i3-7020U/4GB/1TB - Grey",6099000,2013-07-11,25
Notebook ASUS VivoBook MAX X441MA - Dual Core N4000/1TB/4GB - Win 10,4014000,2013-07-12,29
Asus vivobook flip TP203Na N3350 dualcore,5000000,2013-07-14,29
ASUS VIVOBOOK X540 Celeron N3060 RAM 4GB HDD 500GB LAYAR 15INC DVDRW,3775000,2013-07-18,21
Asus Vivobook A409MA-BV412T Intel N4020 4GB 1TB Win10 Grey,4040000,2013-07-21,26
ASUS VivoBook M413DA,6999000,2013-07-23,17
"ASUS VIVOBOOK M409DA RYZEN 5-3500U | 8GB | 1TB | VEGA8 | W10 | 14""FHD",7999000,2013-07-25,21
"NOTEBOOK ASUS VIVOBOOK E203MAH-FD011T 11,6"" INTEL N4000 WINDOWS ORI",3400000,2013-07-29,8
Notebook ASUS VivoBook MAX X441MA - Dual Core N4000/1TB/4GB - Win 10,4014000,2013-08-02,19
ASUS VIVOBOOK X441UA-GA312T SILVER,6750000,2013-08-03,24
"Asus VivoBook E402BA-GA001T AMD A4 9125 4GB 500GB Radeon R3 Win10 14""",3825500,2013-09-12,14
"Acer Aspire 3 A314-33 DC N4000 Win10 (14""/UMA/500GB/4GB)",4240000,2013-09-18,18
Acer Aspire 3 A314 N4120 Quadcore 4GB 1TB W10 14 -32.C2UY -C000 -C4WL,3699000,2013-09-19,16
"Acer Aspire 3 A314-41|A9 9420E 4GB 1TB Radeon R5 14"" HD W10| 983D/9556",4700000,2013-09-20,11
Acer Aspire 5 514-52K i3-8130U/8GB/256GB/UMA/W10H,6590000,2013-09-21,13
ACER ASPIRE 2IN1 R7 372RT I5 6200U 4GB RAM 256GB SSD 1920X1080 BACKL94,3000000,2013-09-23,18
Lenovo Ideapad 310S-11IAP IGID Intel N3350 2GB 500GB 11 Inch DOS,3299000,2013-09-24,14
Acer Aspire 3 A314 21 40WH AMD A4 9120E 4GB 256GB SSD WIN10 R3 BLACK,4350000,2013-09-25,17
"Acer Aspire 5 A514-52K - i3 7020U 8GB 1TB WIN10 14""",6299000,2013-09-27,22
Acer Aspire 3 A314-41 A9-9420e 4GB 1TB HDD Radeon R5 DVDRW W10,4550000,2013-09-29,20
Acer Aspire 3 A315-42 R5 3500 8GB 1TB Vega8 W10 15.6 R8SM / R34T/ R3GZ,6999000,2013-09-30,20
Acer Aspire 3 A314-32 Intel N4100 4GB 1TB HDD Win10,3890000,2013-10-01,12
ACER ASPIRE 3 A311-31-C540 INTEL N4020 RAM 4GB HDD 500 GB W10 11.6,3499000,2013-10-02,11
ACER Aspire 3 A314-32-C3X0 N4000 4GB 1TB W10 14.0 - BLG,3649000,2013-10-03,14
