name,price,date,sales
monsters gaming asus rog gl553vd i7 7700hq 16gb 128gb ssd 1tera hdd,13750000,2013-01-12,7
Asus ROG G531GT I565B1T i5 9300 8GB 512ssd GTX1650 4GB W10 15.6FHD,13349000,2013-01-17,16
Asus Slim Monster Gaming ROG GL502VM w/ GTX 1060 6 GB,14999000,2013-01-26,12
LENOVO L340 15IRH-1UID GAMING i7-9750 8GB 512ssd GTX1650 4GB W10 + OHS,12749000,2013-01-29,6
MSI BRAVO 15 Ryzen 5 4600 8GB 256ssd RX5500M 4GB W10 15.6FHD - HITAM,12549000,2013-01-30,9
Asus ROG Monster Slim Gaming GL702VM i7 w/ GTX 1060 6 GB,15999000,2013-02-02,21
LENOVO L340 15IRH-1UID GAMING i7-9750 8GB 512ssd GTX1650 4GB W10 + OHS,12749000,2013-02-07,13
MSI BRAVO 15 Ryzen 5 4600 8GB 256ssd RX5500M 4GB W10 15.6FHD - HITAM,12549000,2013-02-08,11
ASUS ROG G531GT-I565G1T/ I5 9300HQ-8GB-SSD 512GB-GTX1650 4GB-WIN 10,12800000,2013-02-17,11
ASUS ROG GL551VW-DS71 Gaming Notebook,15950000,2013-02-19,10
Asus ROG STRIX G531GD-I705G6T- i7-9750H- GTX1050-4GB- 8GB- 1TB-,15050025,2013-02-21,13
ASUS ROG G531GT BLACK i7-9750H-8GB-512GB-GTX1650-4GB-15.6-Win10,15455000,2013-02-25,7
ASUS ROG G531GT-9750H-8GB-512GB-GTX1650-Black-40359,15455000,2013-02-26,9
Asus Rog GL503GE Hero Edition i7 8750H Gen 8 Nvidia GTX 1050Ti 4GB,13700000,2013-02-27,9
ASUS ROG RAMPAGE VI EXTREME OMEGA - LGA 2066,11825000,2013-03-03,20
Asus ROG G531GT-I565G1T SG i5 9300H 8GB 512ssd GTX1650 4GB 15.6FHD W10,13499000,2013-03-14,10
LENOVO Legion 5 2WID 120HZ R5-4600H 16GB 512ssd GTX1650Ti 4GB W10+OHS,15999000,2013-03-15,14
LENOVO Legion 5 40ID 120hz R5-4600H 16GB 512ssd GTX1650 4GB W10+OHS,15049000,2013-03-16,10
Lenovo Legion Y7000SE-2019-34ID i5 9300H 8GB 512ssd GTX1650 4GB 15.6FH,12799000,2013-03-20,14
Lenovo Legion 5 40ID | Ryzen 5 4600H 16GB 512SSD GTX1650 4GB 120Hz,16000000,2013-03-23,21
LENOVO LEGION 5 RYZEN 5-4600H 16GB 512GB GTX1650 4GB 120Hz Win10+OHS,15499000,2013-03-24,19
"LENOVO Legion Y540-15IRH-H6ID i7-9750H GTX1650-4GB 512GB 15.6"" 144Hz",15549000,2013-03-26,16
LENOVO LEGION Y540-15IRH-AKID i5-9300H 8GB 512GB SSD GTX1650 4GB W10,13599000,2013-03-27,11
LENOVO LEGION Y540 15IRH 81SY00MTID i5 9300HF 8GB 512GB GTX 1650 W10,12650000,2013-04-03,24
"LENOVO LEGION Y7000SE i5-9300 8GB 512GB GTX1650 4GB 15.6"" FHD IPS W10",12799000,2013-04-16,9
Lenovo Legion Y540-15IRH-PG0 MSID Core i7-9750HF/16GB/512GB/WIN10+OHS,15775000,2013-04-23,11
LENOVO L340 15IRH-1UID GAMING i7-9750 8GB 512ssd GTX1650 4GB W10 + OHS,12749000,2013-04-24,13
"ASUS ROG STRIX G531GD-I705G6T i7-9750H|8GB|1TB|15.6""|GTX1050 4GB|W10",14897000,2013-04-25,14
Asus ROG G531GT-I565G1T i5 9300H 8GB 512ssd GTX1650 4GB 15.6FHD W10,13349000,2013-05-01,16
Asus ROG GL 752VW Core i7 Gen 6th RAM 12GB HDD 1TB black bekas FULLSET,10520000,2013-05-07,15
ASUS ROG GL502VM GDDR5X 1060 Gaming/ GL503GE GL503VM GL504GM Predator,11999000,2013-05-08,14
ASUS ROG STRIX III G531GD I505G1T i5-9300H 1TB 8GB GTX1050 4GB W10,11499000,2013-05-15,16
ASUS ROG Slim G551VW i7 Edition w/ 4K Ultra HD IPS Display,11850000,2013-05-17,16
ASUS ROG G531GT I565G1T StrixG|i5 9300H 8GB 512ssd GTX1650 4GB 15.6FHD,13499000,2013-05-23,14
ASUS - ROG-STRIX-RTX2070S-O8G-GAMING,10865000,2013-05-29,10
ASUS ROG Gaming GL552VW i7 Edition w/ GTX 960M 4GB Full HD IPS Display,10999000,2013-05-30,19
ASUS VIVOBOOK K413FA-EK302T Core i3 10110U 512GB SSD 8GB Notebook,8585000,2013-05-31,27
Asus VivoBook A412FL-EK511T i5-10210U 8GB MX250-2GB 256GB SSD 1TB FHD,10799000,2013-06-01,26
ASUS Vivobook A412DA -AMD Ryzen 5 3500U Processor with 512Gb SSD,8699000,2013-06-02,22
"Asus A412 Vivobook A412FL-EK302T Ultrabook 14"" Full HD Notebook FHD",9120000,2013-06-06,9
ASUS VIVOBOOK A412FL Core i5 10210U 1TB 4GB MX250 2GB - Notebook,9544000,2013-06-07,21
"ASUS VIVOBOOK A412FL I5-10210U 4GB 1TB NVIDIA MX250 2GB 14"" FHD W10",9450000,2013-06-09,38
"Asus VivoBook K413FQ EK701T EK702T i7-10510U MX350 8GB 512GB 14"" FHD",12350000,2013-06-10,20
Asus Vivobook K413FQ-EK703T/EK701T/EK702T Core i7 10510U +SSD 512GB,12649000,2013-06-11,18
ASUS VIVOBOOK A409JP-EK501T Core i5 1035GI 1TB 4GB MX330 2GB Notebook,8534000,2013-06-13,21
ASUS VIVOBOOK M413IA EK501T | RYZEN 5 4500U 8GB 512SSD 14FHD W10,9128000,2013-06-15,26
